Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno00280:Valine, leucine and isoleucine degradation	16	1.4010507880910683	5.9139121315861306E-8	ALDH6A1, ACADSB, BCAT2, BCKDHB, HMGCS1, HIBADH, MCCC2, DBT, ALDH7A1, MUT, IVD, OXCT1, MCEE, HIBCH, PCCA, ALDH9A1	352	46	5590	5.523715415019763	1.0467569988348302E-5	1.0467569988348302E-5	7.263999378670505E-5
KEGG_PATHWAY	rno00640:Propanoate metabolism	10	0.8756567425569177	1.3713641905570403E-4	ALDH6A1, MUT, ALDH7A1, ACSS1, SUCLG2, MCEE, HIBCH, SUCLA2, PCCA, ALDH9A1	352	33	5590	4.81232782369146	0.023982547131182863	0.012064044146171793	0.16831309948426298
KEGG_PATHWAY	rno00020:Citrate cycle (TCA cycle)	9	0.7880910683012259	3.8433336107821127E-4	DLST, SUCLG2, SDHD, DLAT, OGDH, SUCLA2, PDHB, IDH3A, PC	352	30	5590	4.764204545454546	0.06577697156554696	0.02242476851521269	0.471050797261352
KEGG_PATHWAY	rno00052:Galactose metabolism	8	0.7005253940455342	4.936985811751904E-4	GCK, AKR1B1, PGM1, HK2, GAA, HK1, PFKM, UGP2	352	24	5590	5.293560606060606	0.08369520755329651	0.021614540963781903	0.6047191624794057
KEGG_PATHWAY	rno04910:Insulin signaling pathway	20	1.7513134851138354	5.201603242375352E-4	PIK3CG, IRS2, PHKG1, HK2, HK1, PPP1R3A, IRS1, RPTOR, AKT1, PPP1R3D, CBLC, PRKAR2A, GCK, SLC2A4, PRKAR1A, GYS1, PRKACA, PRKAA2, PYGB, AKT2	352	132	5590	2.40616391184573	0.08797906201581052	0.01824988282523554	0.6370364490491554
KEGG_PATHWAY	rno00620:Pyruvate metabolism	10	0.8756567425569177	5.386510679412878E-4	ME1, HAGH, ALDH7A1, ACSS1, ME3, AKR1B1, DLAT, PDHB, ALDH9A1, PC	352	39	5590	4.071969696969697	0.09096067696909393	0.015768836909797357	0.6596131575855702
KEGG_PATHWAY	rno04930:Type II diabetes mellitus	11	0.9632224168126094	7.589421520882969E-4	PIK3CG, IRS2, GCK, SLC2A4, HK2, HK1, MAFA, PRKCE, ABCC8, IRS1, KCNJ11	352	49	5590	3.5650510204081636	0.12574550554314223	0.019014578421376216	0.9282205100723084
KEGG_PATHWAY	rno04920:Adipocytokine signaling pathway	13	1.138353765323993	8.046055704328515E-4	AKT1, PRKCQ, PPARA, IRS2, ACSL1, SLC2A4, NFKBIE, NFKBIB, SLC2A1, PRKAA2, IRS1, ACSL6, AKT2	352	67	5590	3.0813263229308006	0.1327886070392983	0.017651419684336034	0.9838157013998816
KEGG_PATHWAY	rno00500:Starch and sucrose metabolism	9	0.7880910683012259	0.0017224192473289596	GBE1, GCK, PGM1, HK2, GAA, GYS1, HK1, UGP2, PYGB	352	37	5590	3.862868550368551	0.26297322968028924	0.03333516989157237	2.0951945273029793
KEGG_PATHWAY	rno03410:Base excision repair	8	0.7005253940455342	0.00842174090666886	POLL, POLE4, UNG, POLE, POLB, PARP3, PARP1, APEX1	352	38	5590	3.3433014354066986	0.7761906112720792	0.1390303744266017	9.86678898408856
KEGG_PATHWAY	rno05414:Dilated cardiomyopathy	13	1.138353765323993	0.01001113104380733	ITGA9, ADCY1, SLC8A1, ADRB1, SGCG, ITGA7, CACNG6, IGF1, SGCD, CACNG4, PRKACA, GOLGA4, TGFB2, SGCB	352	90	5590	2.2938762626262625	0.8315134834672434	0.1494737125222464	11.625385076002958
KEGG_PATHWAY	rno00670:One carbon pool by folate	5	0.43782837127845886	0.011990996159075	MTHFD1, TYMS, SHMT2, ATIC, GART	352	15	5590	5.293560606060606	0.8817830578331299	0.163004139486576	13.771930287979172
KEGG_PATHWAY	rno00650:Butanoate metabolism	7	0.6129597197898424	0.015339123491876801	ALDH7A1, ALDH5A1, OXCT1, HMGCS1, BDH1, PDHB, ALDH9A1	352	33	5590	3.368629476584022	0.9351749597885274	0.18979373030370594	17.29324881621428
KEGG_PATHWAY	rno05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)	11	0.9632224168126094	0.01645232960638434	ITGA9, SLC8A1, DSG2, SGCG, ITGA7, CACNG6, GJA1, SGCD, CACNG4, CDH2, GOLGA4, SGCB	352	74	5590	2.360641891891892	0.9469374289142176	0.1892005428645872	18.434451912556938
KEGG_PATHWAY	rno00330:Arginine and proline metabolism	9	0.7880910683012259	0.01648710644453242	GOT2, PYCR1, PYCRL, ODC1, ALDH7A1, ACY1, GOT1, ALDH9A1, CKB	352	53	5590	2.696719554030875	0.9472684880598663	0.17812706007461754	18.469869248142157
KEGG_PATHWAY	rno05410:Hypertrophic cardiomyopathy (HCM)	11	0.9632224168126094	0.03644909726534418	ITGA9, SLC8A1, SGCG, ITGA7, CACNG6, IGF1, SGCD, CACNG4, PRKAA2, GOLGA4, TGFB2, SGCB	352	84	5590	2.0796130952380953	0.998601007826207	0.33684743264253736	36.62265808962349
KEGG_PATHWAY	rno00010:Glycolysis / Gluconeogenesis	11	0.9632224168126094	0.03644909726534418	ALDH7A1, ACSS1, GCK, PGM1, HK2, HK1, ENO3, PFKM, DLAT, PDHB, ALDH9A1	352	84	5590	2.0796130952380953	0.998601007826207	0.33684743264253736	36.62265808962349
KEGG_PATHWAY	rno00970:Aminoacyl-tRNA biosynthesis	7	0.6129597197898424	0.03684329233274898	TARS2, PARS2, FARS2, FARSB, GARS, DARS2, AARS2	352	40	5590	2.7791193181818183	0.9986987499088298	0.3235175782126294	36.940396366737005
KEGG_PATHWAY	rno04210:Apoptosis	11	0.9632224168126094	0.039104613462100854	PIK3CG, AKT1, PRKAR2A, AIFM1, DFFA, CASP7, BCL2, PRKAR1A, CSF2RB, PRKACA, AKT2	352	85	5590	2.0551470588235294	0.9991416366618913	0.3244641558425997	38.735020626625605
KEGG_PATHWAY	rno04960:Aldosterone-regulated sodium reabsorption	7	0.6129597197898424	0.05007139580058607	PIK3CG, IRS2, ATP1B1, ATP1A3, IGF1, ATP1A2, IRS1	352	43	5590	2.5852272727272725	0.9998874615673861	0.38031108209898645	46.791592974973426
KEGG_PATHWAY	rno04510:Focal adhesion	19	1.6637478108581436	0.06290530851918913	CAV3, PIK3CG, MYL7, COL3A1, IGF1, FLNC, AKT1, ITGA9, CCND1, LAMA4, ARHGAP5, CCND2, LAMC3, PAK4, BCL2, ITGA7, PDGFC, COL1A1, GOLGA4, AKT2	352	195	5590	1.5473484848484849	0.9999898684580585	0.43729110885000844	54.97858400353548
KEGG_PATHWAY	rno03030:DNA replication	6	0.5253940455341506	0.06529004259784066	RPA1, POLE4, POLE, MCM2, MCM3, MCM5	352	35	5590	2.722402597402597	0.9999935463434019	0.43395898930770693	56.36582346903134
KEGG_PATHWAY	rno05218:Melanoma	9	0.7880910683012259	0.06577899245265412	PIK3CG, AKT1, E2F1, CCND1, IGF1, PDGFC, FGF13, FGF12, AKT2	352	69	5590	2.071393280632411	0.9999941171968366	0.4215659733613606	56.64535711546019
KEGG_PATHWAY	rno05200:Pathways in cancer	27	2.364273204903678	0.0943920738902698	WNT5A, E2F1, STAT5A, EGLN3, FGF13, KIT, FGF12, TGFB2, AKT1, CUL2, BCL2, SLC2A1, RALA, AKT2, PIK3CG, RET, AR, FZD1, IGF1, BIRC5, FZD5, RAD51, CBLC, CCND1, LAMA4, LAMC3, WNT9A	352	317	5590	1.3526132778893032	0.9999999760988917	0.533741382834974	70.41301095100732
