"","test_id","gene_id","gene","locus","sample_1","sample_2","status","value_1","value_2","log2.fold_change.","test_stat","p_value","q_value","significant"
"24","XLOC_000024","XLOC_000024","Plagl1","1:7239993-7259523","ZL","ZDF","OK",0.744477,1.58633,1.0914,1.94664,0.00795,0.145989,"no"
"60","XLOC_000060","XLOC_000060","Il22ra2","1:15093598-15106954","ZL","ZDF","OK",0.262508,1.04228,1.98931,2.59852,0.0016,0.05794,"no"
"256","XLOC_000256","XLOC_000256","LOC688452","1:59700203-59719686","ZL","ZDF","OK",3.13973,7.37299,1.23161,1.70856,0.00475,0.107639,"no"
"272","XLOC_000272","XLOC_000272","Zfp54","1:61286359-61338609","ZL","ZDF","OK",1.64573,3.78166,1.20029,1.9506,0.0078,0.144441,"no"
"314","XLOC_000314","XLOC_000314","Mzf1","1:65521085-65533212","ZL","ZDF","OK",0.567235,1.55422,1.45418,2.44589,0.001,0.0438743,"yes"
"457","XLOC_000457","XLOC_000457","Mill1","1:79631667-79657943","ZL","ZDF","OK",0.684452,2.7179,1.98947,3.12895,5e-05,0.00520877,"yes"
"474","XLOC_000474","XLOC_000474","Gpr4","1:80125635-80137520","ZL","ZDF","OK",13.4299,32.2008,1.26165,2.23785,0.00205,0.0679654,"no"
"478","XLOC_000478","XLOC_000478","Fosb","1:80214493-80221710","ZL","ZDF","OK",2.25514,8.26337,1.87351,2.20939,0.00295,0.0810549,"no"
"495","XLOC_000495","XLOC_000495","Kcnn4","1:81230611-81245996","ZL","ZDF","OK",1.68409,4.97712,1.56334,2.42999,0.00125,0.0495961,"yes"
"549","XLOC_000549","XLOC_000549","Prx","1:84304227-84325406","ZL","ZDF","OK",1.42172,2.9178,1.03724,2.17137,0.0032,0.083937,"no"
"550","XLOC_000550","XLOC_000550","Hipk4","1:84328113-84338706","ZL","ZDF","OK",1.32943,3.39204,1.35134,2.39025,0.00095,0.0425294,"yes"
"628","XLOC_000628","XLOC_000628","Prodh2","1:88955134-88968501","ZL","ZDF","OK",0.242949,0.738691,1.60432,1.50823,0.03625,0.322364,"no"
"635","XLOC_000635","XLOC_000635","Atp4a","1:89162638-89175843","ZL","ZDF","OK",0.751548,7.25049,3.27014,3.24718,5e-05,0.00520877,"yes"
"700","XLOC_000700","XLOC_000700","AABR07003187.2","1:98643964-98646900","ZL","ZDF","OK",1.03408,2.83981,1.45745,2.11716,0.0037,0.0923152,"no"
"921","XLOC_000921","XLOC_000921","Isg20","1:140601790-140608946","ZL","ZDF","OK",3.16554,6.72753,1.08763,1.83115,0.01275,0.194894,"no"
"1039","XLOC_001039","XLOC_001039","Mogat2","1:164181247-164206037","ZL","ZDF","OK",0.953312,3.53493,1.89066,2.27658,0.00525,0.114371,"no"
"1053","XLOC_001053","XLOC_001053","Kcne3","1:165189984-165201670","ZL","ZDF","OK",0.695767,1.73275,1.31639,1.53503,0.03215,0.30739,"no"
"1059","XLOC_001059","XLOC_001059","Dnajb13","1:165515725-165530095","ZL","ZDF","OK",0.0414019,0.612247,3.88635,2.5274,0.0273,0.285345,"no"
"1091","XLOC_001091","XLOC_001091","Olr63","1:167864364-167874317","ZL","ZDF","OK",2.41356,4.86641,1.01169,1.44669,0.03415,0.315132,"no"
"1249","XLOC_001249","XLOC_001249","Pik3c2a","1:185210921-185326314","ZL","ZDF","OK",3.59839,10.9279,1.6026,3.25085,5e-05,0.00520877,"yes"
"1299","XLOC_001299","XLOC_001299","Tnrc6a","1:193076429-193146405","ZL","ZDF","OK",6.46646,18.3215,1.50249,2.79469,3e-04,0.019395,"yes"
"1324","XLOC_001324","XLOC_001324","Tbx6","1:198214796-198218706","ZL","ZDF","OK",0.747817,1.7487,1.22553,1.41598,0.04285,0.348588,"no"
